specimen_id,group_id,thickness_mm,hole_diameter_mm,angle_deg,elastic_modulus_mpa,friction_coef,temperature_c,insertion_speed_mm_s,material_family,data_source,design_revision,measured_at,retention_pass,post_retention_force_n
000001,FAM-010,2.47872,5.3589,20.8857,2466.92,0.44537,-25.4787,48.4274,POM,cae,R3,2024-02-20T17:00:00+00:00,1,38.7298
000002,FAM-011,3.30056,6.24468,42.6,2710.91,0.217718,77.2787,6.01541,POM,test,R3,2024-01-12T08:00:00+00:00,1,34.3898
000003,FAM-009,2.29589,6.0729,40.2432,1300.37,0.189315,7.0961,49.4452,PP,test,R3,2024-11-28T02:00:00+00:00,0,17.145
000004,FAM-008,1.94084,8.58399,37.1641,1477.08,0.29332,79.6601,9.87307,PP,test,R2,2024-10-08T01:00:00+00:00,0,6.36177
000005,FAM-033,1.50722,8.5758,30.2006,2573.76,0.212841,52.1081,19.5382,PA66,test,R2,2024-05-20T14:00:00+00:00,0,9.07295
000006,FAM-013,2.17575,7.40761,37.865,2864.96,0.378276,46.9396,31.5841,PA66,test,R3,2024-04-03T10:00:00+00:00,1,20.12
000007,FAM-030,2.07724,6.64747,28.3258,2745.98,0.252761,70.7703,21.5034,PA66,cae,R1,2024-04-18T13:00:00+00:00,0,13.6003
000008,FAM-029,1.72892,8.2652,47.9884,2386.87,0.4036,26.2266,14.2767,POM,test,R2,2024-04-17T05:00:00+00:00,0,13.4824
000009,FAM-034,2.24855,8.48414,32.2954,2644.22,0.177066,48.2212,29.2542,PA66,test,R2,2024-02-01T19:00:00+00:00,0,13.1249
000010,FAM-010,2.50754,5.35552,23.1409,2778.01,0.234219,46.8443,28.0429,POM,cae,R3,2024-03-01T20:00:00+00:00,1,27.9284
000011,FAM-022,3.55541,6.17661,45.9723,1434.38,0.316739,1.7883,49.9116,PP,cae,R2,2024-04-04T14:00:00+00:00,1,27.926
000012,FAM-021,2.49642,8.18431,26.3047,2347.87,0.41472,77.23,15.9437,POM,cae,R2,2024-05-05T10:00:00+00:00,0,12.877
000013,FAM-025,3.78625,6.64941,38.075,1260.97,0.423087,-23.829,29.4125,PP,test,R1,2024-05-22T00:00:00+00:00,1,34.6111
000014,FAM-015,2.02768,5.12235,22.666,2993.21,0.382819,-4.88999,39.1396,PA66,test,R3,2024-05-19T19:00:00+00:00,1,34.7824
000015,FAM-031,1.9959,5.34681,23.4844,1268.34,0.340412,24.2881,43.1765,PP,test,R1,2024-05-16T07:00:00+00:00,0,13.51
000016,FAM-039,2.20622,7.53627,28.3589,1439.58,0.419085,44.0028,38.9293,PP,test,R1,2024-01-20T02:00:00+00:00,0,13.9957
000017,FAM-012,3.04995,6.59719,21.1472,2495.07,0.307683,20.1886,27.4505,POM,test,R2,2024-02-10T00:00:00+00:00,1,25.5634
000018,FAM-005,2.64899,7.27694,39.5821,2822.48,0.165466,58.6263,22.4763,PA66,test,R3,2024-01-21T02:00:00+00:00,0,19.6188
000019,FAM-020,2.58096,8.07086,38.1676,1331.67,0.347068,41.5681,22.714,PP,test,R1,2024-02-11T00:00:00+00:00,0,8.07111
000020,FAM-030,2.14631,6.86673,31.1908,2618.12,0.323826,-23.6064,25.997,PA66,cae,R1,2024-04-25T15:00:00+00:00,0,23.2667
000021,FAM-014,2.05024,5.39466,26.2059,1313.35,0.262139,-25.1321,47.477,PP,test,R1,2024-11-07T23:00:00+00:00,1,22.0821
000022,FAM-022,3.51767,6.65962,40.7398,1310.2,0.335445,32.2223,48.985,PP,test,R2,2024-04-13T07:00:00+00:00,1,21.5119
000023,FAM-005,2.83676,7.27937,39.5235,2998.57,0.164527,47.8871,26.0109,PA66,test,R3,2024-01-29T01:00:00+00:00,0,22.0696
000024,FAM-030,1.97196,7.02087,28.4866,2647.81,0.250789,61.6091,31.2531,PA66,test,R1,2024-04-25T23:00:00+00:00,0,14.1873
000025,FAM-006,1.75102,5.58356,30.6741,1357.27,0.220714,-7.73073,18.7265,PP,cae,R3,2024-07-08T22:00:00+00:00,0,13.094
000026,FAM-008,2.09398,8.61651,37.3535,1503.83,0.380444,-11.5525,5.47081,PP,test,R2,2024-10-07T13:00:00+00:00,0,12.3857
000027,FAM-018,3.22696,7.09275,24.4803,2809.68,0.155164,12.5466,20.5829,POM,test,R1,2024-10-10T03:00:00+00:00,1,26.6524
000028,FAM-010,2.68866,5.2243,21.9131,2483.35,0.294407,27.3466,44.2914,POM,test,R3,2024-02-26T16:00:00+00:00,1,34.4291
000029,FAM-039,2.09245,8.0767,28.7715,1293.43,0.290003,24.6384,8.88497,PP,cae,R1,2024-01-23T19:00:00+00:00,0,9.2753
000030,FAM-021,2.50555,8.45887,24.6017,2805.79,0.211655,22.246,31.115,POM,test,R2,2024-04-24T15:00:00+00:00,0,17.0135
000031,FAM-026,1.54105,7.58526,24.2558,2502.6,0.405209,61.6684,9.33757,POM,test,R2,2024-02-14T07:00:00+00:00,0,5.6521
000032,FAM-010,2.34689,5.38508,23.8936,2707.92,0.155947,60.8333,28.3218,POM,cae,R3,2024-02-21T06:00:00+00:00,1,27.193
000033,FAM-002,1.47768,5.32323,28.1236,2726.47,0.2696,-26.6535,30.6294,POM,cae,R2,2024-03-06T18:00:00+00:00,1,20.0032
000034,FAM-038,2.76231,7.7539,37.4766,2548.64,0.332826,-29.4523,45.8266,PA66,test,R2,2024-01-24T13:00:00+00:00,0,21.4031
000035,FAM-036,1.79304,7.68518,38.3289,1284.92,0.178178,23.0513,36.1518,PP,test,R1,2024-09-20T23:00:00+00:00,0,5.5874
000036,FAM-028,2.71977,8.5788,39.0443,3078.72,0.246066,54.9628,43.7723,PA66,cae,R2,2024-07-25T02:00:00+00:00,0,17.7643
000037,FAM-016,1.41266,7.84812,44.8259,2819.64,0.346438,-18.8225,35.4034,POM,test,R1,2024-06-21T02:00:00+00:00,0,12.4874
000038,FAM-019,3.25599,8.09727,34.5788,1521.68,0.313797,39.722,18.6706,PP,test,R1,2024-12-17T13:00:00+00:00,0,15.8675
000039,FAM-020,2.63321,7.89023,39.6546,1415.6,0.275186,46.2242,30.6141,PP,test,R1,2024-02-24T10:00:00+00:00,0,11.0652
000040,FAM-039,2.29217,7.12099,28.8965,1397.81,0.448932,46.2628,9.97494,PP,test,R1,2024-01-15T14:00:00+00:00,0,14.377
000041,FAM-026,1.60784,7.23833,20.4798,2361.25,0.162197,59.7871,32.8117,POM,test,R2,2024-02-27T16:00:00+00:00,0,5.21405
000042,FAM-024,3.34756,4.60312,22.2103,2388.72,0.254836,-12.256,45.6335,POM,cae,R2,2024-12-07T06:00:00+00:00,1,55.4137
000043,FAM-039,2.0817,7.84708,25.9143,1276.92,0.407336,61.7069,44.4757,PP,cae,R1,2024-01-14T19:00:00+00:00,0,8.9782
000044,FAM-031,2.14376,5.38417,21.1915,1273.5,0.253752,47.3924,6.67601,PP,test,R1,2024-05-09T06:00:00+00:00,0,13.6733
000045,FAM-003,1.62166,7.24418,41.6147,1290.14,0.407464,69.1354,5.12327,PP,test,R2,2024-11-28T04:00:00+00:00,0,8.2143
000046,FAM-037,2.08685,8.45793,44.5169,2438.48,0.414315,-9.87335,48.617,POM,test,R2,2024-12-30T14:00:00+00:00,0,15.0156
000047,FAM-002,1.53867,5.31796,31.5255,2752.32,0.358198,37.3548,36.9613,POM,cae,R2,2024-03-04T18:00:00+00:00,0,19.9652
000048,FAM-001,2.89004,6.78191,27.4456,2557.97,0.421828,11.6265,5.52633,POM,test,R2,2024-09-16T13:00:00+00:00,1,30.87
000049,FAM-023,2.70792,5.69911,46.0208,2881.24,0.325687,17.1828,7.85983,PA66,cae,R1,2024-05-09T01:00:00+00:00,1,40.4857
000050,FAM-010,2.38632,5.30528,21.6059,2741.97,0.2963,78.633,31.8791,POM,cae,R3,2024-02-13T18:00:00+00:00,1,24.1879
000051,FAM-001,2.9305,6.58032,24.0608,2602.52,0.279921,-7.02085,16.4955,POM,cae,R2,2024-09-14T04:00:00+00:00,1,31.2173
000052,FAM-001,2.69342,6.82508,22.9915,2496.7,0.381532,77.1925,21.6073,POM,cae,R2,2024-09-28T01:00:00+00:00,1,22.8178
000053,FAM-030,2.27438,6.86773,32.0272,2553.42,0.370604,-14.3797,26.9274,PA66,test,R1,2024-04-27T17:00:00+00:00,0,23.0289
000054,FAM-033,1.78476,8.16769,26.4709,2899.9,0.328028,-13.6493,42.3033,PA66,test,R2,2024-05-08T21:00:00+00:00,0,12.9338
000055,FAM-002,1.58647,5.3777,31.1836,2771.67,0.410356,34.5557,21.4306,POM,test,R2,2024-03-07T11:00:00+00:00,0,19.2041
000056,FAM-033,1.58771,8.86512,28.4213,2570.33,0.215576,17.9745,48.8993,PA66,test,R2,2024-05-20T14:00:00+00:00,0,9.53744
000057,FAM-008,1.86881,8.25012,36.8632,1419.99,0.376458,62.9264,47.7163,PP,test,R2,2024-10-02T17:00:00+00:00,0,6.71077
000058,FAM-006,1.89438,5.11004,29.9575,1361.97,0.221902,29.2527,27.2085,PP,test,R3,2024-07-09T21:00:00+00:00,0,13.7783
000059,FAM-005,2.57506,7.19115,42.9617,3053.75,0.334883,70.547,46.1202,PA66,test,R3,2024-01-18T22:00:00+00:00,0,23.3409
