specimen_id,group_id,thickness_mm,hole_diameter_mm,angle_deg,elastic_modulus_mpa,friction_coef,temperature_c,insertion_speed_mm_s,material_family,data_source,design_revision,measured_at,insertion_force_n,post_retention_force_n
000001,FAM-031,2.78481,5.73138,31.1677,2975.01,0.427287,22.8034,13.7814,PA66,test,R2,2024-09-05T22:00:00+00:00,37.2659,39.3209
000002,FAM-034,2.20254,5.70306,38.0019,1466.18,0.396484,69.5705,16.926,PP,test,R1,2024-11-08T12:00:00+00:00,15.2009,12.5014
000003,FAM-026,1.77795,7.24673,33.0883,2455.42,0.318758,26.1965,17.282,POM,cae,R3,2024-06-29T00:00:00+00:00,10.8509,15.743
000004,FAM-027,2.5721,7.38277,27.0041,2574.63,0.31728,9.05661,25.124,POM,cae,R3,2024-09-03T02:00:00+00:00,24.7268,17.5504
000005,FAM-009,1.76142,7.41256,18.6058,1389.58,0.445382,40.4413,19.6684,PP,test,R1,2024-03-02T02:00:00+00:00,5.49698,10.6596
000006,FAM-003,3.17478,7.80609,37.719,2982.79,0.224371,30.0753,17.2073,PA66,test,R3,2024-12-29T06:00:00+00:00,29.1208,27.5669
000007,FAM-030,2.85017,6.70288,39.9229,2695.6,0.172785,-16.3578,34.1831,POM,cae,R1,2024-01-24T07:00:00+00:00,36.1816,27.4469
000008,FAM-005,1.72182,8.39734,15.0821,2674.45,0.318582,13.1998,7.38646,POM,test,R3,2024-07-06T15:00:00+00:00,5.96716,7.6794
000009,FAM-005,1.78088,8.32645,13.2482,2677.91,0.248636,4.4658,20.3164,POM,test,R3,2024-07-17T07:00:00+00:00,7.40072,11.1464
000010,FAM-037,1.60989,5.88366,38.4257,2480.64,0.246702,63.1517,36.0388,POM,test,R1,2024-06-23T17:00:00+00:00,10.6792,11.9392
000011,FAM-028,1.43137,5.96332,23.2706,2533.29,0.152126,11.6727,12.9132,POM,test,R1,2024-10-19T07:00:00+00:00,8.84985,11.4727
000012,FAM-014,3.31123,7.66529,27.3927,2545.57,0.328872,60.3711,14.9418,PA66,test,R2,2024-03-05T06:00:00+00:00,25.6838,23.1957
000013,FAM-021,2.95432,7.87937,43.2729,1480.34,0.22921,18.6629,14.03,PP,test,R1,2024-03-19T06:00:00+00:00,15.3199,16.0045
000014,FAM-022,1.99653,6.44155,37.1972,2762.48,0.206358,52.8851,5.04167,PA66,test,R1,2024-12-16T07:00:00+00:00,10.4371,14.4496
000015,FAM-028,1.65418,6.28495,22.4204,2567.88,0.16213,-15.119,26.3195,POM,test,R1,2024-10-17T20:00:00+00:00,13.8362,13.686
000016,FAM-027,2.50295,7.47475,32.7231,2467.59,0.259308,71.7115,6.75315,POM,test,R3,2024-08-20T05:00:00+00:00,14.6165,13.9157
000017,FAM-021,2.78657,7.64301,42.7263,1318.64,0.413691,22.8616,17.2823,PP,test,R1,2024-03-25T06:00:00+00:00,18.4579,15.6939
000018,FAM-026,1.9237,7.32436,32.7817,2645.67,0.251001,-1.42219,49.7662,POM,test,R3,2024-07-06T22:00:00+00:00,16.0491,15.8856
